pickup_hour,trip_count,total_revenue,avg_fare,avg_distance
18,6344,91781.8,14.46749684741488,2.5078215636822194
19,6283,89918.03,14.311321024988063,2.561155498965462
21,5668,85630.28,15.107671136203246,3.0043807339449544
20,5565,81095.97,14.572501347708895,2.8773998203054805
22,5357,81495.15,15.212833675564681,3.0126488706365504
17,5266,79706.07,15.13597987086973,2.747352829472085
14,5199,75723.03,14.564922100403924,2.6747355260627046
15,5032,74875.69,14.879906597774246,2.7848847376788557
12,4944,66868.84,13.525250809061488,2.4114866504854366
13,4900,68675.11,14.015328571428572,2.549818367346939
