trip_date,trip_count,total_revenue,avg_fare,avg_distance,total_tips
2015-01-10,4082,56707.37,13.89205536501715,2.6480720235178836,5699.06
2015-01-23,3706,56206.85,15.16644630329196,2.939546681057744,6116.05
2015-01-31,4026,55997.38,13.908936910084451,2.60951564828614,5864.31
2015-01-30,3665,55023.31,15.013181446111869,2.6659399727148703,5844.26
2015-01-16,3594,54841.08,15.259065108514191,2.8565080690038958,5741.25
2015-01-09,3601,54601.89,15.162979727853374,2.775104137739517,5719.57
2015-01-15,3490,53769.1,15.406618911174785,2.8075042979942695,5949.21
2015-01-29,3374,53024.18,15.715524599881446,2.7250622406639007,5831.46
2015-01-17,3741,52731.06,14.095445068163592,2.7604464047046244,5156.66
2015-01-22,3456,52270.53,15.124574652777778,2.722138310185185,5962.32
