weekday,trip_count,avg_fare,avg_total_amount,avg_tip_percentage,total_revenue
Monday,10337,11.933879268646608,14.879835542226953,12.927038078878962,153812.86000000002
Tuesday,10775,11.689264037122971,14.673219489559164,20.72529429374744,158103.94
Wednesday,13128,11.866796922608165,14.90932053625838,13.539552822305303,195729.56
Thursday,16775,12.217967213114754,15.21222831594635,12.984616077949648,255185.13
Friday,17335,12.109698298240554,15.105570233631381,12.862867862357943,261855.06
Saturday,18584,11.318809190701678,13.861882264313389,12.424048024886757,257609.22
Sunday,12352,11.976855569948187,14.703269915803109,12.512834998209614,181614.79
